,Season,Rank,Player,Pos,Age,G,MP,PTS,AST,TRB,STL,BLK,FG%,eFG%,FT%,PF,WS,WS/48,First,Pts Won,Pts Max,Share,MVP,raptor_offense,raptor_defense,predator_offense,predator_defense
28,1998,9,Grant Hill,SF,25,81,40.7,21.1,6.8,7.7,1.8,0.7,0.452,0.453,0.74,2.4,10.2,0.149,0,23,1160,0.02,0,1.930164037,1.466597635,2.027980485,1.315657455
29,1998,10,Scottie Pippen,SF,32,44,37.5,19.1,5.8,5.2,1.8,1.0,0.447,0.491,0.777,2.6,6.6,0.193,0,14,1160,0.012,0,4.154818225,3.475736493,4.778508363,3.398141336
30,1998,11,Glen Rice,SF,30,82,40.2,22.3,2.2,4.3,0.9,0.3,0.457,0.504,0.849,2.4,9.3,0.136,0,7,1160,0.006,0,2.171628513,-0.017033622,2.020876504,0.224439398
31,1998,12,Antoine Walker,PF,21,82,39.9,22.4,3.3,10.2,1.7,0.7,0.423,0.45,0.645,3.2,4.7,0.07,0,6,1160,0.005,0,-0.901423485,-0.03937721,-0.040940106,0.012956265
32,1998,13T,Jason Kidd,PG,24,82,38.0,11.6,9.1,6.2,2.0,0.3,0.416,0.458,0.799,1.7,8.0,0.123,0,5,1160,0.004,0,1.872399521,2.909971062,2.64864005,3.741597567
33,1998,13T,John Stockton,PG,35,64,29.0,12.0,8.5,2.6,1.4,0.2,0.528,0.567,0.827,2.2,8.0,0.206,0,5,1160,0.004,0,5.484916837,2.099110196,5.304024066,2.23771408
34,1998,15,Mitch Richmond,SG,32,70,36.7,23.2,4.0,3.3,1.3,0.2,0.445,0.498,0.864,2.2,7.9,0.148,0,3,1160,0.003,0,3.391246999,-1.050788713,3.193840925,-0.681066146
35,1998,16T,Reggie Miller,SG,32,81,34.5,19.5,2.1,2.9,1.0,0.1,0.477,0.553,0.868,1.8,12.0,0.206,0,2,1160,0.002,0,5.309405167,-0.547238882,5.570414701,-0.362932254
36,1998,16T,Rik Smits,C,31,73,28.6,16.7,1.4,6.9,0.5,1.2,0.495,0.495,0.783,3.3,6.1,0.141,0,2,1160,0.002,0,1.473011199,0.742105974,1.678181201,1.223572834
37,1998,18T,Michael Finley,SF,24,82,41.4,21.5,4.9,5.3,1.6,0.4,0.449,0.477,0.784,2.0,7.5,0.106,0,1,1160,0.001,0,1.658959429,-0.374218751,1.57826676,-0.137841833
38,1998,18T,Rod Strickland,PG,31,76,39.7,17.8,10.5,5.3,1.7,0.3,0.434,0.439,0.726,2.4,8.1,0.129,0,1,1160,0.001,0,3.098822301,-0.201628112,2.937324838,0.042610256
39,1999,1,Karl Malone,PF,35,49,37.4,23.8,4.1,9.4,1.3,0.6,0.493,0.493,0.788,2.7,9.6,0.252,44,827,1180,0.701,1,0.835864659,1.187836628,1.406123367,1.099544305
40,1999,2,Alonzo Mourning,C,28,46,38.1,20.1,1.6,11.0,0.7,3.9,0.511,0.511,0.652,3.5,7.9,0.216,36,773,1180,0.655,0,-0.09753675,3.066442938,0.229760035,3.292873672
41,1999,3,Tim Duncan,PF,22,50,39.3,21.7,2.4,11.4,0.9,2.5,0.495,0.495,0.69,2.9,8.7,0.213,30,740,1180,0.627,0,2.889287003,2.511077347,3.044180361,2.188039567
42,1999,4,Allen Iverson,SG,23,48,41.5,26.8,4.6,4.9,2.3,0.1,0.412,0.439,0.751,2.0,7.2,0.173,5,319,1180,0.27,0,3.808809774,0.74593971,4.700315782,0.848416946
43,1999,5,Jason Kidd,PG,25,50,41.2,16.9,10.8,6.8,2.3,0.4,0.444,0.476,0.757,2.2,8.1,0.188,2,159,1180,0.135,0,4.340273464,-2.096639973,4.418152542,-1.312435267
44,1999,6,Shaquille O'Neal,C,26,49,34.8,26.3,2.3,10.7,0.7,1.7,0.576,0.576,0.54,3.2,9.0,0.255,1,89,1180,0.075,0,2.636641415,0.659744104,3.360909231,0.789593115
45,1999,7,Chris Webber,PF,25,42,40.9,20.0,4.1,13.0,1.4,2.1,0.486,0.488,0.454,3.5,3.6,0.102,0,51,1180,0.043,0,-4.073954083,1.403466114,-3.14873446,1.6672999
46,1999,8,Grant Hill,SF,26,50,37.0,21.1,6.0,7.1,1.6,0.5,0.479,0.479,0.752,2.3,7.3,0.189,0,39,1180,0.033,0,5.414789871,2.850272983,5.667682851,2.748900545
47,1999,9,Gary Payton,PG,30,50,40.2,21.7,8.7,4.9,2.2,0.2,0.434,0.479,0.721,2.3,7.2,0.172,0,35,1180,0.03,0,5.525856003,0.357127795,5.911559308,0.938657837
48,1999,10,Kevin Garnett,PF,22,47,37.9,20.8,4.3,10.4,1.7,1.8,0.46,0.462,0.704,3.2,5.4,0.146,0,9,1180,0.008,0,1.998616114,2.81608128,2.428036174,2.500892497
49,1999,11,Shawn Kemp,PF,29,42,35.1,20.5,2.4,9.2,1.1,1.1,0.482,0.483,0.789,3.8,6.3,0.205,0,7,1180,0.006,0,2.122292766,0.542594529,2.125742116,0.687470009
50,1999,12,David Robinson,C,33,49,31.7,15.8,2.1,10.0,1.4,2.4,0.509,0.509,0.658,2.9,8.4,0.261,0,6,1180,0.005,0,0.788888146,7.432781829,1.286623385,6.722598262
51,1999,13T,Hakeem Olajuwon,C,36,50,35.7,18.9,1.8,9.6,1.6,2.5,0.514,0.517,0.717,3.2,6.5,0.175,0,3,1180,0.003,0,-4.595222443,0.594850189,-4.062324017,1.567227708
52,1999,13T,Arvydas Sabonis,C,34,50,27.0,12.1,2.4,7.9,0.7,1.3,0.485,0.493,0.771,2.9,5.8,0.207,0,3,1180,0.003,0,-1.021798253,3.711973752,-0.679793538,3.374463768
